GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
app,io.chat.app.config.api.security,FilterToken,42,3,4,0,11,1,3,1,1,1
app,io.chat.app.config.api.security,SecurityConfig,0,62,0,0,0,13,0,6,0,6
app,io.chat.app.application.exceptions,AppException,3,7,0,0,1,3,1,1,1,1
app,io.chat.app,AppApplication,5,3,0,0,2,1,1,1,1,1
app,io.chat.app.infra.http.controller,UserController,18,3,0,0,2,1,2,1,2,1
app,io.chat.app.infra.http.controller,ChatController,30,3,0,0,9,1,2,1,2,1
app,io.chat.app.application.user.dtos,SignInUserDTO,0,17,0,0,0,4,0,5,0,5
app,io.chat.app.application.user.dtos,SignInUserResponseDTO,16,15,0,0,4,2,5,4,5,4
app,io.chat.app.application.user.dtos,UserResponseDTO,3,28,0,0,1,5,1,8,1,8
app,io.chat.app.application.user.dtos,CreateUserDTO,0,24,0,0,0,5,0,7,0,7
app,io.chat.app.config.api.docs,SwaggerConfig,0,59,0,0,0,14,0,3,0,3
app,io.chat.app.infra.database.entity,Chat,7,38,0,0,1,7,2,11,2,11
app,io.chat.app.infra.database.entity,User,24,34,0,0,7,7,9,10,9,10
app,io.chat.app.application.chat.services,SaveMessageService,0,21,0,0,0,3,0,2,0,2
app,io.chat.app.application.chat.services,GetMessagesService,0,33,0,0,0,5,0,3,0,3
app,io.chat.app.config.infra.websocket,WebSocketConfig,0,39,0,0,0,6,0,3,0,3
app,io.chat.app.application.user.services,CreateUserService,0,41,0,2,0,5,0,3,0,2
app,io.chat.app.config.utils,ModelMapperConfig,0,14,0,0,0,4,0,2,0,2
app,io.chat.app.usecases,UserUseCase,10,3,0,0,2,1,2,1,2,1
app,io.chat.app.usecases,ChatUseCase,11,3,0,0,2,1,2,1,2,1
app,io.chat.app.config.api.security.user,Authentication,69,6,4,0,13,3,4,1,2,1
app,io.chat.app.config.api.security.user,Token,0,30,0,0,0,9,0,3,0,3
app,io.chat.app.config.infra.database,MongoConfig,0,3,0,0,0,1,0,1,0,1
app,io.chat.app.application.chat.dtos,ChatResponseDTO,7,38,0,0,1,7,2,11,2,11
app,io.chat.app.application.chat.dtos,ChatNotificationDTO,214,0,38,0,8,0,34,0,15,0
app,io.chat.app.application.chat.dtos,CreateMessageDTO,9,15,0,0,3,2,3,4,3,4
app,io.chat.app.application.chat.dtos,ChatNotificationDTO.ChatNotificationDTOBuilder,45,0,0,0,1,0,7,0,7,0
app,io.chat.app.config.infra.http,CorsConfig,0,50,0,0,0,5,0,2,0,2
app,io.chat.app.infra.http.controller.advices,CustomExceptionHandler,91,3,2,0,18,1,3,1,2,1
